Titre,Recette,Duree de preparation,Ingrédients ,Calories(kcal),Protéines(g),Lipides(g),Glucides(g),Videos Youtube,Image,Type de cuisine,Cathegorie de cuisine
Pois chiche à la marocaine,"Faites mijoter des pois chiches avec des tomates, de l’ail, des oignons, et des épices (cumin, paprika, curcuma). Laissez cuire jusqu’à ce que la sauce soit épaisse et parfumée. Servez chaud avec du pain.	",30-60 minutes,"Pois chiches, tomates, oignons, ail, épices	",300,12,6,40,,,,
Poisson ,"Faites cuire un poisson entier (dorade ou bar) au four avec des épices, de l’huile d’olive, du citron, et des herbes fraîches (persil ou coriandre). Servez avec des légumes ou du riz.	",30-60 minutes,"Poisson, citron, huile d’olive, épices, herbes	",250,25,8,20,,,,
Poisson grillé,"Faites mariner un poisson entier ou des filets avec du citron, de l’ail, et des épices (cumin, paprika). Faites griller sur un barbecue ou à la poêle jusqu’à ce qu’il soit cuit et légèrement croustillant.	",15-30 minutes,"Poisson, citron, ail, épices	",220,22,8,0,,,,
Poulet,"Faites cuire des morceaux de poulet (cuisses ou filets) avec des épices et des légumes. Pour une version rôtie, assaisonnez avec du sel, du poivre, et des herbes, et faites cuire au four jusqu’à ce que la peau soit dorée et croustillante.	",30-60 minutes,"Poulet, épices, légumes (optionnel)	",300,25,10,5,,,,
Poulet avec légumes sautés,"Cuisson du poulet : Faites cuire des morceaux de poulet (poitrine, cuisses, ou ailes) dans une poêle avec un peu d'huile d'olive. Assaisonnez avec du sel, du poivre et des herbes de Provence ou du paprika. Faites cuire jusqu'à ce que le poulet soit bien doré et cuit à l'intérieur.
Préparation des légumes : Coupez des légumes comme des carottes, des courgettes, des poivrons et des champignons en morceaux.
Sauter les légumes : Dans une autre poêle, faites sauter les légumes dans de l'huile d'olive jusqu'à ce qu'ils soient tendres mais encore croquants. Vous pouvez ajouter de l'ail, du sel, du poivre et des herbes pour plus de saveur.
Assemblage : Servez le poulet accompagné des légumes sautés.                       autrement:                                                                                                               Préparation des ingrédients :

Couper les légumes (carottes, courgettes, poivron) en morceaux de taille similaire pour assurer une cuisson uniforme.
Couper le poulet en morceaux ou en lanières de taille égale pour une cuisson rapide.
Cuisson du poulet :

Chauffer 1 cuillère à soupe d’huile d’olive dans une grande poêle ou un wok à feu moyen-vif.
Ajouter le poulet coupé, assaisonner avec du sel et du poivre, puis faire sauter jusqu’à ce qu’il soit bien doré et cuit à cœur (environ 8-10 minutes).
Retirer le poulet de la poêle et réserver.
Cuisson des légumes :

Dans la même poêle, ajouter la deuxième cuillère à soupe d’huile d’olive.
Ajouter l’ail et l’oignon, faire revenir 2 minutes jusqu’à ce qu’ils deviennent translucides.
Ajouter les autres légumes (carottes, courgettes, poivron) et faire sauter à feu moyen pendant 5-7 minutes jusqu'à ce qu'ils soient légèrement tendres mais encore croquants.
Assemblage :

Remettre le poulet dans la poêle avec les légumes.
Ajouter la sauce soja et le miel, puis mélanger pour bien enrober le tout. Laisser cuire encore 2-3 minutes pour que la sauce caramélise légèrement.
Ajuster l’assaisonnement avec du sel et du poivre si nécessaire",30-60 minutes,"Pour 4 personne: 4 filets de poulet (environ 600 g)
1 carotte, coupée en julienne
1 courgette, coupée en rondelles
1 poivron rouge, coupé en lamelles
1 oignon, émincé
2 gousses d'ail, hachées
2 cuillères à soupe d'huile d'olive
2 cuillères à soupe de sauce soja
1 cuillère à soupe de miel
Sel et poivre au goût
Quelques brins de persil ou de coriandre pour la garniture",350-400,35,14,20,,,,
Poulet farci,"Préparation de la farce : Mélangez de la viande hachée (poulet, porc ou bœuf), des oignons hachés, de l'ail, du riz cuit, des herbes (thym, romarin), et un peu de bouillon ou d'œuf pour lier.
Farcir le poulet : Prenez un poulet entier, assaisonnez-le à l'intérieur et à l'extérieur avec du sel, du poivre, du paprika et des herbes. Farcissez le poulet avec la préparation.
Cuisson : Faites cuire le poulet farci au four à 180°C pendant environ 1h30 à 2h, en le badigeonnant régulièrement d'huile d'olive ou de beurre pour qu'il soit doré et moelleux.",1-3 heures,"1 poulet entier
200g de viande hachée (poulet, bœuf ou porc)
1 oignon, haché
100g de riz cuit
Ail, sel, poivre, cumin, cannelle
Bouillon de poulet (optionnel)",350-450,35,20,10,,,,
Poulet frit,"Préparation du poulet : Découpez le poulet en morceaux (cuisses, ailes, blancs) et assaisonnez-le avec du sel, du poivre, de l'ail en poudre, du paprika, et du cumin.
Panure : Trempez les morceaux de poulet dans de la farine, puis dans un mélange d'œufs battus, et enfin dans de la chapelure.
Friture : Faites chauffer de l'huile dans une grande poêle ou une friteuse et faites frire les morceaux de poulet jusqu'à ce qu'ils soient bien dorés et cuits à l'intérieur (environ 10-15 minutes par morceau).
Égoutter : Placez le poulet sur du papier absorbant pour éliminer l'excès d'huile.",30-60 minutes,"4 morceaux de poulet (cuisses ou ailes)
1 tasse de farine
2 œufs
Chapelure
Sel, poivre, paprika, ail en poudre
Huile pour friture",450-550,30,30,20,,,,
Poulet rôti ,"Préparation du poulet : Préchauffez le four à 200°C. Assaisonnez le poulet entier avec du sel, du poivre, du paprika, du citron, et de l'ail. Vous pouvez aussi insérer des herbes fraîches (romarin, thym) dans le poulet.
Rôtir : Placez le poulet dans un plat allant au four et faites-le cuire pendant environ 1h30, en le retournant à mi-cuisson pour qu'il soit bien doré de chaque côté.
Vérification : Vérifiez que la viande est bien cuite en insérant un thermomètre dans la partie la plus épaisse du poulet (la température interne doit atteindre 75°C).",1-3 heures,"1 poulet entier
2 gousses d'ail, hachées
1 citron
Herbes de Provence (thym, romarin)
3 cuillères à soupe d'huile d'olive
Sel et poivre",350-450,30,20,2,,,,
Purée,"Cuisson des pommes de terre : Pelez et coupez les pommes de terre en morceaux. Faites-les cuire dans de l'eau bouillante salée pendant 20 minutes ou jusqu'à ce qu'elles soient tendres.
Écraser les pommes de terre : Égouttez les pommes de terre et écrasez-les à l'aide d'un presse-purée ou d'une fourchette.
Ajout de beurre et de lait : Ajoutez du beurre, du lait (ou de la crème pour une texture plus riche), du sel et du poivre. Mélangez jusqu'à obtenir une purée lisse et crémeuse.",30-60 minutes,"4 pommes de terre
50g de beurre
100 ml de lait
Sel et poivre",150-200,3,8,25,,,,
Raclette,"Cuisson des pommes de terre : Faites cuire des pommes de terre dans de l'eau bouillante jusqu'à ce qu'elles soient tendres.
Préparation des accompagnements : Coupez des tranches de fromage à raclette, préparez des charcuteries (jambon, saucisson, viande des Grisons) et des légumes (cornichons, oignons, etc.).
Raclette : Placez le fromage sur un appareil à raclette et faites fondre les tranches de fromage. Servez avec les pommes de terre et les accompagnements.",30-60 minutes,"200g de fromage à raclette par personne
Pommes de terre
Charcuteries (jambon, salami, viande des Grisons)
Cornichons, oignons au vinaigre",600-800,25,50,30,,,,
Ratatouille,"Préparation des légumes : Coupez les légumes en petits dés (courgettes, aubergines, poivrons, tomates, oignons).
Cuisson : Faites chauffer de l'huile d'olive dans une grande poêle. Commencez par faire revenir les oignons et les poivrons, puis ajoutez les aubergines et les courgettes. Enfin, ajoutez les tomates et laissez mijoter pendant 30 minutes. Assaisonnez avec du sel, du poivre, de l'ail, du basilic et du thym.
Servir : Servez chaud, accompagné de riz ou de pain.",30-60 minutes,"2 courgettes
2 aubergines
1 poivron rouge
3 tomates
1 oignon
Ail, huile d'olive, herbes de Provence
",150-180,3,10,20,,,,
Ravioli,"Préparation de la pâte : Si vous préparez des raviolis maison, mélangez de la farine, des œufs et un peu d'huile d'olive pour faire une pâte lisse. Étalez la pâte et découpez des carrés.
Garniture : Préparez la garniture de votre choix, comme du fromage ricotta et des épinards, ou de la viande hachée cuite.
Cuisson : Faites cuire les raviolis dans de l'eau bouillante salée pendant environ 3-5 minutes.
Sauce : Servez avec une sauce tomate ou une sauce à la crème.",30-60 minutes,"Raviolis frais ou secs (fromage, viande, légumes)
Sauce tomate ou sauce à la crème
Parmesan râpé (facultatif)",300-350,12,15,30,,,,
Rfissa,"Cuisson de la viande : Faites revenir du poulet dans une grande casserole avec des oignons, de l'ail, et des épices (cumin, gingembre, curcuma). Ajoutez un peu de bouillon et laissez mijoter.
Préparation de la pâte : Préparez des msemen (pâte feuilletée marocaine) ou des feuilles de brick, puis coupez-les en morceaux.
Assemblage : Lorsque le poulet est bien cuit, placez les morceaux de pâte dans le fond du plat, puis versez la viande et le bouillon par-dessus. Laissez cuire à feu doux jusqu'à ce que la pâte absorbe le bouillon.",1-3 heures,"1 poulet
2 oignons
200g de lentilles
100g de vermicelles ou msemen
Cumin, gingembre, curcuma
Bouillon de poulet",350-450,30,12,45,,,,
Risotto,"Préparation de la base : Faites revenir des oignons hachés dans du beurre ou de l'huile d'olive jusqu'à ce qu'ils soient tendres.
Cuisson du riz : Ajoutez du riz arborio et faites-le revenir pendant 1-2 minutes. Ajoutez petit à petit du bouillon chaud, en remuant constamment. Laissez le riz absorber le liquide avant d'en ajouter davantage.
Finalisation : Une fois que le riz est cuit et crémeux, ajoutez du parmesan râpé et du beurre pour une texture encore plus crémeuse.",30-60 minutes,"200g de riz arborio
1 oignon, haché
1L de bouillon de légumes ou de poulet
100g de parmesan râpé
Beurre et huile d'olive",350-450,8,18,50,,,,
Riz,"Cuisson du riz : Rincez le riz à l'eau froide, puis faites-le cuire dans de l'eau bouillante salée pendant environ 10-15 minutes. Égouttez-le.
Assaisonnement : Ajoutez un peu de beurre ou d'huile d'olive pour plus de saveur.",15-30 minutes,"200g de riz basmati
400ml d'eau
Sel",200-250,5,0,45,,,,
Riz à la ratatouille,"Préparation du riz : Faites cuire du riz comme indiqué ci-dessus.
Préparation de la ratatouille : Suivez la recette de la ratatouille, en la faisant cuire avec des légumes comme des tomates, des courgettes, des aubergines, et des poivrons.
Assemblage : Mélangez le riz cuit avec la ratatouille et servez chaud.",30-60 minutes,"200g de riz
1 courgette, 1 aubergine, 1 poivron
2 tomates
Ail, huile d'olive",250-300,6,10,40,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fwww.rhizomecollective.org%2Fwp-content%2Fuploads%2F2015%2F09%2Fratatouille-au-riz.jpg&f=1&nofb=1&ipt=b4b86baff5be7d1eb2135c8cbc8f8e6aa0c6b628db9cb8e101fd946d16b2b194&ipo=images,,
Riz avec du poulet,"Cuisson du poulet : Faites cuire des morceaux de poulet dans une poêle avec des épices (cumin, curcuma, paprika). Ajoutez de l'ail et de l'oignon hachés.
Cuisson du riz : Faites cuire le riz séparément.
Assemblage : Mélangez le riz et le poulet, puis servez chaud avec une sauce au choix.",30-60 minutes,"200g de riz
2 cuisses de poulet
Oignon, ail
Épices (curcuma, paprika)",400 - 500,30,20,45,,,,
Riz basmati,"Cuisson du riz basmati : Rincez bien le riz à l'eau froide, puis faites-le cuire dans de l'eau bouillante salée pendant environ 10-12 minutes. Égouttez et laissez reposer quelques minutes.
",15-30 minutes,"200g de riz basmati
400ml d'eau
Sel",200 - 250,5,0,45,,,,
Riz sénégalais,"Cuisson du riz : Faites cuire le riz basmati ou riz long grain avec un bouillon de légumes ou de poulet.
Préparation de la sauce : Faites revenir de l'oignon, de l'ail, des tomates et du piment dans de l'huile d'olive. Ajoutez des légumes (carottes, poivrons) et un peu de viande ou du poisson si vous le souhaitez.
Mélange : Mélangez le riz avec la sauce pour un riz savoureux.",30-60 minutes,"200g de riz
300g de poisson ou viande
2 tomates, poivron, oignon
Bouillon
Piment (facultatif)",400 -500,30,15,50,,,,
Rziza,"Cuisson de la viande : Faites revenir l'oignon haché dans un peu de beurre ou d'huile d'olive. Ajoutez la viande hachée (agneau ou poulet), assaisonnez avec des épices comme la cannelle, le cumin, et le gingembre. Laissez cuire jusqu'à ce que la viande soit bien dorée.
Préparation de la pâte : Faites fondre le beurre dans une poêle. Découpez les feuilles de brick ou de pâte filo en petits morceaux et superposez-les. Faites-les légèrement frire dans le beurre fondu jusqu'à ce qu'elles soient dorées et croustillantes.
Assemblage : Une fois la viande cuite, farcissez les feuilles de brick avec cette préparation. Enroulez-les comme des cigares ou des rouleaux.
Finalisation : Si vous le souhaitez, saupoudrez de sucre glace et de cannelle pour un effet sucré.
",1-3 heures,"200g de feuilles de brick
300g de viande hachée (agneau ou poulet)
1 oignon
Épices : cannelle, cumin, gingembre
50g de beurre fondu
50g de sucre glace (optionnel)",250,15,15,20,,,,
Salade,"Lavage des légumes : Lavez bien la laitue, les tomates et les concombres. Coupez-les en morceaux.
Assemblage : Dans un grand saladier, ajoutez la laitue coupée, les tomates, et les concombres. Vous pouvez ajouter des légumes supplémentaires selon vos préférences.
Assaisonnement : Arrosez la salade d'huile d'olive, ajoutez du sel et du poivre. Vous pouvez ajouter un peu de vinaigre ou du jus de citron pour plus de fraîcheur",15-30 minutes,"Laitue, tomates, concombres
1 cuillère à soupe d'huile d'olive
Vinaigre, sel, poivre",20,1,1,4,,,,
Salade César,"Cuisson des croûtons : Coupez des tranches de pain en petits cubes. Faites-les revenir dans un peu de beurre ou d'huile d'olive jusqu'à ce qu'ils soient dorés et croquants.
Préparation de la vinaigrette : Dans un bol, mélangez la mayonnaise, l'ail haché, le vinaigre, le parmesan râpé, et un peu de moutarde. Assaisonnez de sel et de poivre.
Assemblage : Dans un grand saladier, mélangez la laitue romaine coupée, les croûtons et le parmesan râpé. Ajoutez la vinaigrette et mélangez bien.
4. Salade de fruits
",15-30 minutes,"1 tête de laitue romaine
50g de croûtons
30g de fromage parmesan
2 cuillères à soupe de mayonnaise
1 cuillère à soupe de vinaigre
1 gousse d'ail",180,4,15,5,,,,
Salade de fruits,"Préparation des fruits : Pelez et coupez les fruits en morceaux (bananes, pommes, oranges, kiwis, etc.).
Mélange : Mélangez tous les fruits dans un grand saladier.
Assaisonnement : Vous pouvez ajouter un peu de jus de citron ou de miel pour apporter de la douceur. Mélangez et servez bien frais.",15-30 minutes,"1 banane
1 pomme
1 orange
1 kiwi
Jus de citron (optionnel)",60,1,0,15,,,,
Salade de riz,"Cuisson du riz : Faites cuire le riz selon les instructions du paquet, puis laissez-le refroidir.
Préparation des légumes : Coupez en petits morceaux le poivron, la tomate, et autres légumes de votre choix (par exemple du concombre).
Assemblage : Dans un saladier, mélangez le riz refroidi avec les légumes coupés. Ajoutez le maïs en boîte.                                                        Assaisonnement : Arrosez d'huile d'olive et de vinaigre. Salez et poivrez selon votre goût.",15-30 minutes,"200g de riz
1 poivron
1 tomate
1 boîte de maïs
2 cuillères à soupe d'huile d'olive
Vinaigre, sel, poivre",120,2,3,22,,,,
Salade marocaine,"Préparation des légumes : Lavez et coupez les tomates, concombres, poivrons, et oignons en petits morceaux.
Assemblage : Mélangez tous les légumes dans un saladier.
Assaisonnement : Ajoutez l'huile d'olive, le jus de citron, et assaisonnez avec du cumin et du paprika pour donner un goût marocain authentique.
",15-30 minutes,"2 tomates
1 concombre
1 poivron
1 oignon
2 cuillères à soupe d'huile d'olive
Jus de citron
Cumin, paprika",8,4,1,8,,,,
Salade mexicaine,"Préparation des légumes : Lavez et coupez les tomates, l’avocat, et les poivrons en petits morceaux.
Mélange des ingrédients : Ajoutez les haricots noirs en boîte, le maïs, et les légumes coupés dans un saladier.
Assaisonnement : Arrosez de jus de lime et ajoutez de la coriandre fraîche hachée. Vous pouvez ajouter un peu de chili si vous aimez les plats épicés.",15-30 minutes,"1 boîte de haricots noirs
1 boîte de maïs
2 tomates
1 avocat
Jus de lime
Coriandre fraîche",120,4,5,18,,,,
Salade mixte,"Préparation des légumes : Lavez et coupez la laitue, les tomates, les concombres, les carottes (râpées) et les radis en fines tranches.
Assemblage : Mélangez tous les légumes dans un saladier.
Assaisonnement : Arrosez d’huile d'olive, de vinaigre, de sel et de poivre au goût.",15-30 minutes,"Laitue, tomates, concombres
1 carotte râpée
3 radis
1 cuillère à soupe d'huile d'olive
Vinaigre, sel, poivre",30,1,2,5,,,,
Salade niçoise,"La salade niçoise est composée de légumes frais comme des tomates, des haricots verts, des œufs durs, des pommes de terre, des olives noires, et des filets de thon (frais ou en conserve). Elle est généralement accompagnée d'une vinaigrette à base d'huile d'olive, de vinaigre et de moutarde.",15-30 minutes,"1 boîte de thon (ou thon frais grillé)
2 œufs durs
4 tomates
100g de haricots verts
4 pommes de terre
1 poignée d'olives noires
1 cuillère à soupe de moutarde
3 cuillères à soupe d'huile d'olive
Vinaigre, sel, poivre",150,10,12,7,,,,
Salade verte,"Une salade verte est généralement composée de laitue, roquette, épinards, ou d'autres feuilles vertes. Elle peut être assaisonnée d'une vinaigrette légère avec du vinaigre, de l'huile d'olive, du sel, et du poivre.",15-30 minutes,"Laitue, roquette ou épinards (au choix)
1 cuillère à soupe d'huile d'olive
Vinaigre, sel, poivre",20,1,1,4,,,,
Sandwich,"Un sandwich classique se compose de deux tranches de pain garnies de divers ingrédients tels que du fromage, de la charcuterie, des légumes (salade, tomate), et des condiments comme de la moutarde ou de la mayonnaise.",15-30 minutes,"2 tranches de pain (blanc, complet, ou baguette)
50g de jambon, poulet ou dinde
1 tranche de fromage (cheddar, emmental, etc.)
Légumes : tomate, salade
Condiments : moutarde, mayonnaise",250,10,8,30,,,,
Sandwich au thon,"Ce sandwich contient du thon en conserve, mélangé avec de la mayonnaise, de la moutarde et des légumes (souvent des tomates ou des cornichons). Il est souvent servi avec des tranches de pain de mie.",15-30 minutes,"1 boîte de thon en conserve
2 cuillères à soupe de mayonnaise
1 cuillère à soupe de moutarde
1 tomate, des cornichons (optionnel)
2 tranches de pain",180,14,10,5,,,,
Sardine,"Les sardines peuvent être grillées ou cuites au four. Elles sont souvent assaisonnées avec de l'huile d'olive, du sel, du poivre et des herbes, comme du romarin ou du thym.",15-30 minutes,"4 sardines entières (frais ou en conserve)
2 cuillères à soupe d'huile d'olive
1 citron
Sel, poivre, herbes (romarin, thym)",210,25,12,0,,,,
Sardine grillée,"Pour des sardines grillées, placez-les sur un grill chaud après les avoir assaisonnées avec de l'huile d'olive, du sel, du poivre et du jus de citron. Vous pouvez les servir avec des légumes grillés ou une salade.",15-30 minutes,"4 sardines fraîches
2 cuillères à soupe d'huile d'olive
1 citron
Sel, poivre, herbes (romarin, thym)",220,25,13,0,,,,
Seffa Medfouna,"Seffa Medfouna est un plat traditionnel marocain composé de semoule de blé cuite à la vapeur (semoule couscous), souvent garnie de viande (agneau, poulet) cuite avec des épices et parfois des fruits secs comme des raisins ou des amandes. Le tout est ensuite recouvert d'un mélange sucré de cannelle et de sucre.",1-3 heures,"500g de semoule de blé (couscous)
500g de viande (poulet ou agneau)
1 oignon
1 poignée de raisins secs
1 poignée d'amandes
Épices : cannelle, cumin, gingembre
2 cuillères à soupe de sucre
2 cuillères à soupe d'huile d'olive",200,9,7,25,,,,
Shawarmas,"Le Shawarma est une spécialité du Moyen-Orient qui consiste en de la viande (souvent de l'agneau, du poulet ou du bœuf) marinée dans un mélange d’épices comme le cumin, le paprika, l'ail, et du yaourt, puis grillée sur une broche. La viande est ensuite découpée en fines tranches et servie dans un pain pita avec des légumes et des sauces (comme la sauce à l'ail).
",1-3 heures,"500g de viande (poulet, bœuf ou agneau)
1 oignon
2 gousses d'ail
2 cuillères à soupe de yaourt nature
Épices : cumin, paprika, coriandre, curcuma, cannelle
4 pains pita
Légumes : tomates, concombre, salade",150,20,8,5,,,,
Soupe,"Une soupe de base peut être faite avec des légumes (carottes, céleri, poireaux, pommes de terre), de l'eau ou du bouillon, et des épices légères comme du sel, du poivre et des herbes. Vous pouvez également y ajouter des protéines comme du poulet ou des lentilles.",30-60 minutes,"2 carottes
1 poireau
2 pommes de terre
1 oignon
Bouillon de légumes ou d’eau
Sel, poivre, herbes aromatiques",40,1,0,9,,,,
Soupe au poisson,"Préparez un bouillon avec des têtes de poisson et des légumes (carottes, céleri, oignons), puis faites cuire le poisson dans ce bouillon. Ajoutez des épices comme le safran et du persil frais pour rehausser le goût.",1-3 heures,"500g de poisson blanc (merlu, colin, etc.)
2 carottes
1 oignon
2 gousses d'ail
Épices : safran, coriandre
Bouillon de poisson",80,15,2,4,,,,
Soupe d'orge,"Faites cuire de l’orge dans de l’eau ou du bouillon avec des légumes comme les carottes, le céleri et les oignons. Vous pouvez ajouter de la viande ou des lentilles pour plus de consistance.",30-60 minutes,"1 tasse d’orge
2 carottes
1 oignon
2 branches de céleri
Bouillon de légumes",60,2,1,12,,,,
Soupe de légumes,"Dans une grande marmite, faites revenir des oignons et de l’ail, ajoutez des légumes de saison (poireaux, carottes, pommes de terre, courgettes, etc.), puis couvrez avec de l’eau ou du bouillon. Laissez mijoter jusqu’à ce que les légumes soient tendres.",30-60 minutes,"2 carottes
2 pommes de terre
1 poireau
1 courgette
1 oignon
Bouillon de légumes",40,1,0,9,,,,
Spaghetti,"Cuire des pâtes spaghetti dans de l'eau salée. Servez avec une sauce tomate maison ou une sauce bolognaise, ou encore avec une sauce à base de crème et de beurre.", 20 à 30 minutes.,"2 carottes
2 pommes de terre
1 poireau
1 courgette
1 oignon
Bouillon de légumes",130,5,2,25,,,,
Steak,"Faites cuire un steak de bœuf (ou autre viande) dans une poêle ou au grill, assaisonnez avec du sel, du poivre, et éventuellement du beurre ou de l'huile d'olive.",15-30 minutes,"200g de steak (bœuf, agneau, etc.)
Sel, poivre
Beurre ou huile d'olive",250,26,18,0,,,,
Steak de bœuf avec quinoa,Cuire un steak de bœuf à votre convenance et servir avec du quinoa cuit. Vous pouvez ajouter des légumes grillés ou une sauce légère à base de yaourt pour plus de saveur.,15-30 minutes,"200g de steak de bœuf
100g de quinoa
1 cuillère à soupe d’huile d'olive
Légumes grillés",210,22,12,8,,,,
Sushi,"Faites cuire du riz à sushi, puis assaisonnez-le avec du vinaigre de riz, du sucre et du sel. Disposez-le sur des feuilles de nori, ajoutez du poisson cru ou cuit (comme du saumon, thon, ou crevettes), puis roulez en utilisant une natte de bambou.",30-60 minutes,"200g de riz à sushi
4 feuilles de nori
Poisson cru (saumon, thon)
Vinaigre de riz",120,5,1,25,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fwww.lanaturopathemoderne.com%2Fwp-content%2Fuploads%2Fsushis-maison-scaled.jpg&f=1&nofb=1&ipt=2a4c1b0bddfcec8d4a763d75da647490375be8d469a77fb08e1a2d3642fca19c&ipo=images,,
Tacos,"Préparez des tortillas de maïs ou de blé, garnissez-les de viande hachée (bœuf ou poulet), de légumes (tomates, laitue), et de sauces (guacamole, salsa).",30-60 minutes,"4 tortillas
200g de viande hachée
1 tomate
1 poignée de laitue
Guacamole, salsa",150,8,7,18,,,,
Tagliatelle Alfredo,"Faites cuire les tagliatelles, puis préparez une sauce à base de crème, beurre, et fromage parmesan râpé. Mélangez la sauce avec les pâtes.",30-60 minutes,"200g de tagliatelles
100g de crème fraîche
50g de beurre
50g de parmesan",300,6,20,25,,,,
Tagliatelles aux crevettes,"Faites cuire des tagliatelles et préparez une sauce avec des crevettes, de l'ail, de l’huile d'olive, et un peu de crème.",30-60 minutes,"200g de tagliatelles
200g de crevettes décortiquées
2 gousses d'ail
50g de crème",180,15,8,15,,,,
Tajine,"Dans une grande casserole ou un tajine, faites revenir des oignons, de l'ail, et des épices comme le cumin, le curcuma, et la cannelle. Ajoutez des légumes comme des carottes, courgettes, aubergines, tomates, pois chiches, et des pommes de terre. Laissez mijoter jusqu'à ce que les légumes soient tendres.",30-60 minutes,"1 aubergine
2 courgettes
3 carottes
3 pommes de terre
1 oignon
2 tomates
1 tasse de pois chiches cuits
2 cuillères à soupe d’huile d'olive
Épices : cumin, curcuma, cannelle
Sel et poivre",80,2,3,12,,,,
Tajine au légumes,,,,,,,,,,,
Tajine d'agneau aux pruneaux,"Faire revenir l'agneau dans de l'huile d'olive avec des oignons et de l'ail. Ajouter des épices comme le ras el hanout, le curcuma, le cumin, puis ajouter des pruneaux, des amandes et un peu de miel. Laissez mijoter avec de l'eau jusqu'à ce que l'agneau soit tendre.",1-3 heures,"500g d'agneau
200g de pruneaux
1 oignon
2 cuillères à soupe d'huile d'olive
Épices : cumin, ras el hanout, curcuma
1 cuillère à soupe de miel
1 poignée d'amandes",150,9,10,15,,,,
Tajine de poisson,"Faire mariner le poisson (souvent du merlu ou du colin) dans des épices comme le paprika, le cumin, l’ail, et du jus de citron. Dans une cocotte, faire revenir des oignons, des tomates, et des poivrons, ajouter le poisson, puis laisser mijoter jusqu'à ce qu'il soit cuit.","30-60 minutes
","500g de poisson (merlu, colin, ou dorade)
2 tomates
1 oignon
1 poivron
1 citron
Épices : cumin, paprika, coriandre
2 cuillères à soupe d'huile d'olive",110,19,4,5,,,,
Tajine de pommes de terre,"Faites revenir des pommes de terre coupées en morceaux avec des oignons, de l’ail, et des épices comme le paprika et le cumin. Ajoutez un peu de tomate et d’eau, puis laissez cuire à feu doux jusqu'à ce que les pommes de terre soient tendres.",30-60 minutes,"6 pommes de terre moyennes
1 oignon
2 tomates
2 cuillères à soupe d'huile d'olive
Épices : cumin, paprika, cannelle",110,2,5,17,,,,
Tajine de poulet,"Faire dorer le poulet dans une cocotte avec de l'huile d'olive, de l'ail, et des épices comme le cumin, le curcuma, et le gingembre. Ajoutez des olives, des citrons confits et des légumes comme des carottes et des pommes de terre. Laissez mijoter.",1-3 heures,"4 cuisses de poulet
1 oignon
1 citron confit
1 poignée d'olives vertes
2 carottes
3 pommes de terre
Épices : cumin, curcuma, gingembre, cannelle",150,20,8,10,,,,
Tajine de viande,"Faire dorer la viande dans de l'huile, ajouter des oignons, de l’ail, et des épices. Ajouter des légumes (pommes de terre, carottes), et laisser mijoter à feu doux pendant plusieurs heures jusqu'à ce que la viande soit bien tendre",1-3 heures,"500g de viande (bœuf ou agneau)
3 pommes de terre
2 carottes
1 oignon
Épices : cumin, cannelle, gingembre",170,22,9,8,,,,
Tajine de viande hachée,"Faire revenir la viande hachée dans un peu d’huile, ajouter des oignons et des épices comme le cumin et le paprika. Ajouter des légumes (pois chiches, tomates) et laisser cuire à feu doux.",30-60 minutes,"500g de viande hachée
1 oignon
2 tomates
1 tasse de pois chiches
Épices : cumin, paprika, cannelle",200,15,15,6,,,,
Tanjia,"C'est un plat de Marrakech, où la viande (souvent du bœuf ou de l’agneau) est marinée dans des épices et cuite lentement dans un pot en terre cuite. On y ajoute des gousses d’ail, des épices comme le cumin, le ras el hanout, et parfois des olives.",1-3 heures,"500g de viande (bœuf ou agneau)
2 tasses d'ail
Épices : cumin, ras el hanout
1 poignée d’olives vertes
1 citron confit",210,23,12,5,,,,
Tarte aux pommes caramélisées,"Préparer une pâte brisée. Cuire les pommes avec du sucre jusqu'à caramélisation. Déposer sur la pâte, cuire au four 30 min à 180°C.",30-60 minutes,"Pâte brisée, pommes, sucre, beurre",250,3,10,40,https://example.com/tarte_pommes.jpg,,,
Tartiflette,"Faire revenir des pommes de terre, lardons et oignons. Ajouter de la crème et du reblochon, cuire au four 20 min.",1-3 heures,"Pommes de terre, lardons, oignons, crème, reblochon",350,15,20,25,https://example.com/tartiflette.jpg,,,
Thé Marocain,"Faire bouillir de l'eau. Ajouter du thé vert, sucre et menthe fraîche. Laisser infuser.",15-30 minutes,"Thé vert, sucre, menthe",60,0,0,15,https://example.com/the_marocain.jpg,,,
Thiéboudiène,"Cuire le poisson et légumes dans une sauce tomate épicée, servir avec du riz.",1-3 heures,"Poisson, riz, légumes, sauce tomate",400,30,10,50,https://example.com/thieboudiene.jpg,,,
Toast,"Griller du pain, ajouter garnitures comme fromage ou légumes.",15-30 minutes,"Pain, garnitures au choix",200,5,4,30,https://example.com/toast.jpg,,,
Tomates aux oeufs,"Émincer l’oignon et le faire revenir dans l’huile.Puis
Ajouter les tomates coupées en dés et cuire jusqu'à ce qu'elles soient tendres.Apres Casser les œufs directement dans la poêle et mélanger doucement.Et Assaisonner avec sel, poivre, et persil.",15-30 minutes,"Œufs, tomates, oignon, huile d'olive, sel, poivre, persil",200,12,14,5,https://example.com/tomates-oeufs.jpg,,,
