id	Titre	Recette	Duree	Ingredients 	Calories	Proteines	Lipides	Glucides	Youtube	Image	Cuisine	Cathegorie
39	Légumes	Préparer les légumes : Lavez et coupez tous les légumes en morceaux ou tranches uniformes. Faire chauffer l'huile : Dans une poêle, chauffez l'huile d'olive à feu moyen. Cuire les légumes : Ajoutez l'oignon et l'ail (si vous les utilisez) dans la poêle et faites cuire pendant 2-3 minutes jusqu'à ce qu'ils deviennent légèrement translucides. Ajouter les légumes : Ajoutez les carottes, courgettes et poivrons dans la poêle. Assaisonnez avec du sel, du poivre, du paprika ou du curry. Faites cuire pendant environ 7-10 minutes, en remuant fréquemment, jusqu'à ce que les légumes soient tendres mais encore croquants. Ajouter la sauce soja (facultatif) : Si vous le souhaitez, vous pouvez ajouter une cuillère de sauce soja pour donner un peu plus de goût. Servir : Servez chaud, seul ou en accompagnement d'un plat principal.	15-30 minutes	100 g de carottes, coupées en julienne ou en rondelles 100 g de courgettes, coupées en rondelles 100 g de poivron (rouge, vert ou jaune), coupé en lamelles 1/2 oignon, émincé 1 cuillère à soupe d'huile d'olive 1/2 cuillère à café de sel 1/4 de cuillère à café de poivre noir 1/4 cuillère à café de paprika ou de curry (facultatif)	175	4	11	22	NULL	https://i.pinimg.com/originals/15/2a/e3/152ae34f3828a2de637bf3c42209e1bb.jpg	NULL	NULL
40	Légumes sautés	Coupez des légumes variés (poivrons, courgettes, carottes) en morceaux. Faites-les sauter dans un peu d’huile d’olive avec de l'ail, du sel et du poivre jusqu'à ce qu'ils soient tendres et légèrement dorés.	15-30 minutes	Poivrons, courgettes, carottes, huile d’olive, ail	150	2	10	20	NULL	https://d1bvpoagx8hqbg.cloudfront.net/originals/legumes-sautes-8a0428319334a3a5bfc24c34b1c89d09.jpg	NULL	NULL
41	Légumineuses	Faites cuire des légumineuses (lentilles, pois chiches, haricots) avec de l'ail, des oignons et des épices comme le cumin et le curcuma. Servez avec un filet d’huile d’olive et du persil.	30-60 minutes	Lentilles, pois chiches, haricots, oignons, épices	225	12	5	35	NULL	https://th.bing.com/th/id/OIP.jOjwQLLo9xO3Z75785kAEAHaE8?rs=1&pid=ImgDetMain	NULL	NULL
42	Lentilles	Faites revenir des oignons, de l'ail, des tomates et des épices (cumin, paprika) dans un peu d'huile. Ajoutez les lentilles, couvrez d'eau et laissez mijoter jusqu'à ce qu'elles soient tendres. Ajoutez un filet d'huile d'olive et du persil frais avant de servir.	30-60 minutes	Lentilles, oignons, tomates, ail, huile, épices	180	10	5	30	NULL	https://th.bing.com/th/id/R.268116dc38275b56df2d1ef5d04c3ec4?rik=uyKo6Kj3cXfq1Q&riu=http%3a%2f%2fwww.cuisineetsentiments.com%2fimages%2flentilles_9.jpg&ehk=EJwefOi5PZKzeDZWLRMZ%2bYy4Pc0QO6VVH3LaNaGYL8o%3d&risl=&pid=ImgRaw&r=0	NULL	NULL
43	Loubia	Faites cuire les haricots blancs dans de l'eau avec de l'ail, des tomates, et des épices (paprika, cumin). Laissez mijoter jusqu’à ce que les haricots soient tendres et la sauce épaissie. Servez chaud avec du persil frais.	1-3 heures	Haricots blancs, ail, tomates, épices	200	12	4	30	NULL	https://salimaskitchen.com/wp-content/uploads/2022/10/Moroccan-Loubia-Salimas-Kitchen-10.jpg	NULL	NULL
44	Manti	Préparer la pâte :  Mélangez la farine, l'œuf, le sel et l'eau pour former une pâte homogène. Pétrissez jusqu'à obtenir une texture lisse et élastique. Couvrez et laissez reposer 20 minutes. Préparer la farce :  Mélangez la viande hachée, l'ail, l'oignon, le sel et le poivre dans un bol. Assembler les Manti :  Étalez la pâte finement sur une surface légèrement farinée. Coupez-la en petits carrés (environ 3x3 cm). Placez une petite quantité de farce au centre de chaque carré. Repliez les coins pour former de petits raviolis bien fermés. Cuire les Manti :  Portez une casserole d'eau salée à ébullition. Plongez les Manti et laissez cuire 8-10 minutes jusqu'à ce qu'ils remontent à la surface. Égouttez. Préparer la sauce :  Mélangez le yaourt avec l'ail écrasé (si utilisé). Dans une petite poêle, faites fondre le beurre et ajoutez le paprika ou le piment. Faites chauffer jusqu'à ce que le mélange devienne aromatique. Servir :  Disposez les Manti dans une assiette. Versez la sauce au yaourt par-dessus, puis garnissez avec le beurre fondu et du paprika. Ajoutez de la menthe séchée si désiré.	30-60 minutes	NULL	375	17	13	55	NULL	https://tarasmulticulturaltable.com/wp-content/uploads/2015/01/manti-7-of-8.jpg	NULL	NULL
45	Mechoui	Assaisonnez un agneau entier ou des morceaux avec du sel, du poivre, et des épices (cumin, paprika). Faites griller lentement à la broche ou au four, en badigeonnant d’huile régulièrement pour garder la viande tendre et juteuse.	Plus	Agneau, huile, sel, poivre, cumin, paprika	400	30	25	0	NULL	https://th.bing.com/th/id/R.15bd796411807d6418b22a7b384bf3cc?rik=A2Q6Rj73ejK2Xg&pid=ImgRaw&r=0	NULL	NULL
46	Medfouna	Préparer la pâte :  Mélangez la farine, la levure, le sel et le sucre dans un bol. Ajoutez l'huile d'olive et l'eau tiède petit à petit, en pétrissant jusqu'à obtenir une pâte souple et homogène. Couvrez et laissez reposer 30 minutes. Préparer la farce :  Dans une poêle, faites chauffer l'huile d'olive. Ajoutez l'oignon et l'ail, et faites-les revenir jusqu'à ce qu'ils soient translucides. Ajoutez la viande hachée, les épices, le persil, la coriandre, et les dés de poivron (si utilisés). Faites cuire jusqu'à ce que la viande soit bien dorée. Laissez refroidir. Assembler la Medfouna :  Divisez la pâte en deux portions égales. Étalez chaque portion en un disque fin. Placez un disque sur une surface farinée, étalez la farce uniformément au centre, puis recouvrez avec le deuxième disque. Scellez bien les bords. Piquez légèrement la surface avec une fourchette pour éviter que la pâte gonfle. Cuire la Medfouna :  Faites chauffer une poêle à feu moyen. Faites cuire la Medfouna environ 5-7 minutes de chaque côté, jusqu'à ce qu'elle soit bien dorée. Retournez délicatement pour cuire l'autre côté. Servir :  Coupez en parts et servez chaud.	30-60 minutes	NULL	425	17	17	52	NULL	https://tasteofmaroc.com/wp-content/uploads/2017/11/seffa-vermicelli-picturepartners-bigstock-740x493.jpg	NULL	NULL
47	Mrouzia	Faites mariner des morceaux d'agneau avec des épices (ras el hanout, cannelle), du miel, et des amandes. Faites cuire lentement dans une marmite jusqu'à ce que la viande soit tendre et enrobée d’une sauce épaisse et sucrée.	1-3 heures	Agneau, miel, amandes, ras el hanout, cannelle	500	25	30	20	NULL	https://images.slurrp.com/prod/recipe_images/kosher-cowboy/moroccan-mrouzia-lamb-tagine-1639734845_AA1L7HAADB3LFWB0PYSA.webp	NULL	NULL
48	Msemen	Mélangez de la farine, de la semoule, de l'eau et du sel pour former une pâte. Divisez en boules, étalez-les finement avec de l'huile, et pliez-les en carrés. Faites cuire sur une poêle chaude avec un peu d'huile jusqu'à ce qu'elles soient dorées et croustillantes.	15-30 minutes	Farine, semoule, huile, sel	250	5	10	35	NULL	https://www.ethnikka.fr/img/msemen.jpg	NULL	NULL
49	Ndole	Faites cuire des feuilles de ndolé avec des arachides écrasées, de l'ail, de l'oignon, et des épices. Ajoutez de la viande (bœuf ou poisson) si désiré, et laissez mijoter jusqu'à obtenir une consistance épaisse et savoureuse. Servir avec du plantain frit ou du manioc.	1-3 heures	Ndolé, arachides, oignons, ail, épices, viande (facultatif)	300	15	20	20	NULL	https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fconstancemagazine.com%2Fwp-content%2Fuploads%2F2019%2F11%2FNdole.jpg&f=1&nofb=1&ipt=bf8f52a81bc364c33b4d04f89c292c89145db0a4c6c47951fb88c5f9602f0492&ipo=images	NULL	NULL
50	Nfouk-owone	Faites cuire les feuilles de manioc pilées avec des arachides moulues, de l'ail et des oignons. Ajoutez de la viande fumée (facultatif) pour un goût supplémentaire et laissez mijoter jusqu'à épaississement. Servez avec du plantain ou du riz.	1-3 heures	Feuilles de manioc, arachides, ail, oignons, viande	280	10	18	25	NULL	https://i.pinimg.com/originals/f9/01/e1/f901e152126c4770bffdae290f3b003a.jpg	NULL	NULL
51	Njapche	Faites revenir de la viande (poulet ou bœuf) avec des épices et des légumes (poivrons, oignons). Ajoutez les feuilles d’épinard ou d'autres légumes verts. Laissez mijoter jusqu'à tendreté. Servez avec du plantain ou du riz.	1-3 heures	Viande, épinards, poivrons, oignons, épices	300	20	10	20	NULL	https://static01.nyt.com/images/2021/05/10/dining/kc-spring-vegetable-japchae/kc-spring-vegetable-japchae-threeByTwoMediumAt2X.jpg	NULL	NULL
52	Nouilles instantanées	Faites bouillir de l'eau et ajoutez les nouilles. Incorporez le sachet de saveurs et laissez mijoter jusqu'à ce que les nouilles soient tendres. Ajoutez des légumes frais, des œufs ou du poulet pour un repas plus complet.	15-30 minutes	Nouilles instantanées, légumes, œufs (optionnel)	350	7	15	45	NULL	https://resize.prod.femina.ladmedia.fr/rblr/652,438/img/var/2021-03/recette-nouilles-instantane-es.jpg	NULL	NULL
53	Œufs	Cassez les œufs dans une poêle chaude avec un peu d'huile, assaisonnez avec du sel et du poivre, et faites-les cuire selon votre goût (brouillés, au plat ou durs).	15-30 minutes	Œufs, sel, poivre, huile	100	7	7	1	NULL	https://th.bing.com/th/id/R.41627251235a482dc343b4332ff2c620?rik=7EoKfXG1B7gWhw&pid=ImgRaw&r=0&sres=1&sresct=1	NULL	NULL
54	Okok	Faites cuire des feuilles de manioc pilées avec des arachides écrasées, de l'oignon et de l'ail. Ajoutez de la viande ou du poisson fumé si désiré, puis laissez mijoter jusqu'à obtenir une consistance épaisse. Servez avec du manioc ou du plantain.	1-3 heures	Feuilles de manioc, arachides, oignon, ail, viande	280	12	20	20	NULL	https://th.bing.com/th/id/OIP.FQSfqdnjJ9CvLL7O9a_IigHaFj?rs=1&pid=ImgDetMain	NULL	NULL
55	Légumes sautés.	Préparer les légumes :  Lavez, épluchez et découpez les légumes selon les indications. Chauffer l'huile :  Faites chauffer l'huile d'olive dans une grande poêle ou un wok à feu moyen. Faire revenir l'ail et l'oignon :  Ajoutez l'ail écrasé et l'oignon émincé. Faites-les revenir 2-3 minutes jusqu'à ce qu'ils soient translucides. Cuire les légumes :  Commencez par les légumes les plus durs (carottes, brocoli). Faites-les revenir pendant 3-4 minutes. Ajoutez ensuite les courgettes et les poivrons. Faites sauter le tout pendant 5-7 minutes, en remuant fréquemment. Assaisonner :  Ajoutez la sauce soja, le jus de citron ou le vinaigre balsamique, le sel, le poivre et les épices. Mélangez bien. Graines de sésame (facultatif) :  Ajoutez les graines de sésame en fin de cuisson pour une texture croquante et une saveur supplémentaire. Servir :  Disposez les légumes sautés dans une assiette et dégustez chaud.	30-60 minutes	NULL	275	6	13	32	NULL	https://i.pinimg.com/originals/15/2a/e3/152ae34f3828a2de637bf3c42209e1bb.jpg	NULL	NULL
56	Omelette	Battez les œufs dans un bol avec un peu de lait, du sel et du poivre. Versez dans une poêle chaude avec de l’huile et faites cuire jusqu'à ce que l'omelette soit dorée et gonflée. Ajoutez des légumes ou du fromage si désiré.	15-30 minutes	Œufs, lait, sel, poivre, huile	150	10	12	2	NULL	https://th.bing.com/th/id/R.5ae9302e25e8f6c67c02bd484ac97a5f?rik=D%2bIxFjxd1CCCVg&riu=http%3a%2f%2fthepetitkitchen.files.wordpress.com%2f2012%2f04%2f007-2.jpg&ehk=QKIOalve4W3m5%2fgDxwQhuCy8Cn6OgVHjuqJdq%2f%2bIb9c%3d&risl=1&pid=ImgRaw&r=0	NULL	NULL
57	Overnight oats	Mélange de base :  Dans un bol ou un récipient hermétique, mélangez les flocons d’avoine, le lait, le yaourt (si utilisé) et les graines de chia ou de lin. Sucrer :  Ajoutez le miel ou le sirop d’érable, et mélangez bien. Ajouter les garnitures :  Disposez les rondelles de banane, les fruits rouges et les noix ou amandes sur le dessus. Réfrigérer :  Couvrez et placez au réfrigérateur pendant au moins 6 heures ou toute la nuit. Servir :  Sortez du réfrigérateur et dégustez directement. Vous pouvez ajouter un filet de lait si le mélange est trop épais à votre goût.	plus de 3 heures	NULL	275	9	7	42	NULL	https://theforkedspoon.com/wp-content/uploads/2016/02/img-26.jpg	NULL	NULL
58	Pad thaï	Préparer les nouilles : Faites tremper les nouilles de riz dans de l'eau chaude pendant environ 10 minutes ou jusqu'à ce qu'elles soient tendres. Égouttez et réservez. Préparer la sauce : Dans un bol, mélangez la sauce de poisson, la sauce tamarin, le sucre brun et la sauce soja. Réservez. Faire revenir l'ail : Chauffez l'huile dans une poêle ou un wok à feu moyen. Ajoutez l'ail émincé et faites-le revenir jusqu'à ce qu'il soit doré. Cuire les protéines : Ajoutez les crevettes (ou poulet/tofu) et faites cuire pendant 2-3 minutes jusqu'à ce qu'elles soient bien cuites. Retirez-les et mettez-les de côté. Cuire l'œuf : Poussez les ingrédients de côté et cassez l'œuf dans la poêle. Brouillez-le rapidement. Ajouter les nouilles : Ajoutez les nouilles égouttées et mélangez-les bien avec les autres ingrédients. Incorporer la sauce : Versez la sauce préparée et mélangez pour enrober les nouilles. Ajouter les légumes : Ajoutez les carottes, les germes de soja et la moitié des oignons verts. Faites sauter encore 1 à 2 minutes. Servir : Disposez dans une assiette, garnissez de cacahuètes écrasées, du reste des oignons verts et d'un quartier de citron vert. Ajoutez du piment si vous le souhaitez.	NULL	NULL	475	27	17	55	NULL	https://th.bing.com/th/id/R.b7e23b82ed782422905c7256b765eb4a?rik=uBKEWQuQ1ysbGA&pid=ImgRaw&r=0	NULL	NULL
59	Paella	Faites revenir des morceaux de poulet, des fruits de mer, et des légumes (poivrons, petits pois). Ajoutez du riz et du safran, puis faites cuire dans du bouillon jusqu'à absorption complète du liquide. Garnissez avec des fruits de mer et du persil avant de servir.	30-60 minutes	Riz, poulet, fruits de mer, poivrons, safran, bouillon	450	25	12	60	NULL	https://th.bing.com/th/id/R.ff90c9773a63817c70ba170e72496aab?rik=nHiJ89cuzxC3rg&pid=ImgRaw&r=0	NULL	NULL
60	Panini	Coupez une baguette en deux, garnissez-la de fromage, de jambon, de tomates et de légumes. Passez dans un appareil à panini jusqu'à ce que le pain soit croustillant et le fromage fondu.	15-30 minutes	Baguette, fromage, jambon, tomates, légumes	400	15	15	45	NULL	https://www.cuisineetsentiments.com/images/panini_10.jpg	NULL	NULL
61	Pastichio	Faites cuire des pâtes et mélangez-les avec de la viande hachée, des tomates et des épices. Couvrez de béchamel et de fromage râpé dans un plat à gratin. Faites cuire au four jusqu'à ce que le dessus soit doré.	1-3 heures	Pâtes, viande hachée, tomates, béchamel, fromage	600	20	25	70	NULL	https://bigoven-res.cloudinary.com/image/upload/pastitso-greek-lasagna.jpg	NULL	NULL
62	Pastilla	Garnissez des feuilles de brick de poulet effiloché, d'amandes grillées, et d'épices comme la cannelle et le safran. Pliez les feuilles en forme de pastilla, badigeonnez d'œuf et faites cuire au four jusqu'à dorure. Saupoudrez de sucre glace avant de servir.	1-3 heures	Feuilles de brick, poulet, amandes, cannelle, sucre glace	450	20	15	50	NULL	https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fwww.foodeals.ma%2Fblog%2Fwp-content%2Fuploads%2F2020%2F03%2Fseafood-bastilla-bigstock-picturepartners-scaled.jpg&f=1&nofb=1&ipt=bbd663a43b232bc400fc08396101d973fb622576cdedbb54a9513c2456199f12&ipo=images	NULL	NULL
63	Pastilla au Fruit de mer	Garnissez des feuilles de brick de fruits de mer (crevettes, calamars), d'épices (paprika, safran) et d’un mélange de vermicelles de riz. Pliez en forme de pastilla, badigeonnez d'œuf et faites cuire jusqu'à dorure.	1-3 heures	Feuilles de brick, crevettes, calamars, vermicelles de riz	400	18	12	45	NULL	https://www.recettemarocaine365.com/wp-content/uploads/2017/02/pastilla-marocaine-au-fruit-de-mere.jpg	NULL	NULL
64	Pastilla au poisson	Garnissez des feuilles de brick avec un mélange de poisson blanc émietté, de fruits de mer (crevettes ou calamars), d’épices (paprika, cumin), et de vermicelles de riz. Pliez en pastilla, badigeonnez d’œuf et faites cuire au four jusqu’à dorure.	1-3 heures	Feuilles de brick, poisson, vermicelles, épices	400	20	12	40	NULL	NULL	NULL	NULL
65	Pâtes	Faites cuire des pâtes dans de l’eau salée. Préparez une sauce avec des tomates, de l’ail, des oignons, et du basilic. Mélangez les pâtes avec la sauce et garnissez de fromage râpé avant de servir.	15-30 minutes	Pâtes, tomates, ail, oignons, basilic, fromage	350	10	8	60	NULL	https://gourmandiz.dhnet.be/app/uploads/2020/05/patessauce-4096x2731.jpg	NULL	NULL
66	Pavé de saumon	Assaisonnez le saumon avec du sel, du poivre et du citron. Faites-le cuire à la poêle ou au four avec un peu d’huile d’olive jusqu’à ce qu’il soit tendre. Servez avec des légumes vapeur ou du riz.	15-30 minutes	Saumon, citron, huile d’olive, légumes	350	25	15	20	NULL	https://th.bing.com/th/id/R.c0926218a7959b4eaa134931f4a25b0b?rik=62BIRiVT7BpIsQ&pid=ImgRaw&r=0	NULL	NULL
67	Pizza	Étalez une pâte à pizza, garnissez-la de sauce tomate, de fromage râpé, et d'autres ingrédients (jambon, légumes, champignons). Faites cuire au four à 220 °C jusqu’à ce que la pâte soit dorée et le fromage fondu.	15-30 minutes	Pâte à pizza, sauce tomate, fromage, garnitures au choix	500	15	20	60	NULL	https://www.foodandwine.com/thmb/Wd4lBRZz3X_8qBr69UOu2m7I2iw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/classic-cheese-pizza-FT-RECIPE0422-31a2c938fc2546c9a07b7011658cfd05.jpg	NULL	NULL
68	Plats escalope de dinde	Assaisonnez des escalopes de dinde avec du sel, du poivre, et des épices. Faites-les griller ou cuire dans une poêle avec un peu d’huile jusqu’à ce qu’elles soient bien dorées. Servez avec des légumes ou une salade.	15-30 minutes	Escalopes de dinde, huile, sel, poivre, légumes (optionnel)	200	30	5	5	NULL	https://assets.afcdn.com/recipe/20170306/34178_w1024h768c1cx2464cy1632.jpg	NULL	NULL
69	Pomme de terre aux olives	Préparer les pommes de terre :  Épluchez et coupez les pommes de terre en morceaux. Faire revenir l’oignon et l’ail :  Faites chauffer l’huile d’olive dans une poêle ou une casserole. Ajoutez l’oignon et l’ail, et faites-les revenir à feu moyen jusqu’à ce qu’ils soient dorés. Ajouter les épices :  Incorporez le paprika, le curcuma, le sel et le poivre. Mélangez bien pour enrober les oignons et l’ail. Cuire les pommes de terre :  Ajoutez les morceaux de pommes de terre dans la casserole. Mélangez bien pour qu’ils s’imprègnent des saveurs. Ajouter les olives et le liquide :  Ajoutez les olives et versez l’eau ou le bouillon. Couvrez et laissez mijoter à feu doux pendant environ 20-25 minutes, jusqu’à ce que les pommes de terre soient tendres et le liquide réduit. Servir :  Disposez dans une assiette, saupoudrez de persil ou de coriandre, et servez chaud.	30-60 minutes	NULL	275	5	11	37	NULL	https://www.la-cuisine-marocaine.com/photos-recettes/01-tajine-epice-de-pommes-de-terre-aux-olive.jpg	NULL	NULL
70	Pois chiche	Faites cuire des pois chiches secs ou utilisez des pois chiches en conserve. Ajoutez de l’ail, du jus de citron, de l’huile d’olive et des épices (cumin, paprika). Servez en salade ou en accompagnement.	15-30 minutes	Pois chiches, ail, citron, huile d’olive, épices	250	10	8	35	NULL	https://th.bing.com/th/id/R.2a6b562c13e4aa0403955606d691bcf5?rik=dG91%2fNBBzRkeAA&pid=ImgRaw&r=0	NULL	NULL
71	Pois chiche à la marocaine	Faites mijoter des pois chiches avec des tomates, de l’ail, des oignons, et des épices (cumin, paprika, curcuma). Laissez cuire jusqu’à ce que la sauce soit épaisse et parfumée. Servez chaud avec du pain.	30-60 minutes	Pois chiches, tomates, oignons, ail, épices	300	12	6	40	NULL	https://i.ytimg.com/vi/GHEI9Su-VR4/maxresdefault.jpg	NULL	NULL
72	Poisson	Faites cuire un poisson entier (dorade ou bar) au four avec des épices, de l’huile d’olive, du citron, et des herbes fraîches (persil ou coriandre). Servez avec des légumes ou du riz.	30-60 minutes	Poisson, citron, huile d’olive, épices, herbes	250	25	8	20	NULL	https://www.santamariaworld.com/optimized/maximum/globalassets/netherlands/recepten/85.-gemengde-visschotel-geserveerd-met-een-frisse-groene-salsa.jpg?id=8217	NULL	NULL
73	Poisson grillé	Faites mariner un poisson entier ou des filets avec du citron, de l’ail, et des épices (cumin, paprika). Faites griller sur un barbecue ou à la poêle jusqu’à ce qu’il soit cuit et légèrement croustillant.	15-30 minutes	Poisson, citron, ail, épices	220	22	8	0	NULL	https://i1.wp.com/reen-epices.com/wp-content/uploads/2021/03/9_Lakk-Dieune-_Poisson-grille_-Recette.png?w=1600&ssl=1	NULL	NULL
74	Poulet	Faites cuire des morceaux de poulet (cuisses ou filets) avec des épices et des légumes. Pour une version rôtie, assaisonnez avec du sel, du poivre, et des herbes, et faites cuire au four jusqu’à ce que la peau soit dorée et croustillante.	30-60 minutes	Poulet, épices, légumes (optionnel)	300	25	10	5	NULL	https://www.boblechef.com/wp-content/uploads/2023/02/boblechef-recette-IA-midjourney-bot-poulet-roti.jpg	NULL	NULL
75	Poulet avec légumes sautés	Cuisson du poulet : Faites cuire des morceaux de poulet (poitrine, cuisses, ou ailes) dans une poêle avec un peu d'huile d'olive. Assaisonnez avec du sel, du poivre et des herbes de Provence ou du paprika. Faites cuire jusqu'à ce que le poulet soit bien doré et cuit à l'intérieur. Préparation des légumes : Coupez des légumes comme des carottes, des courgettes, des poivrons et des champignons en morceaux. Sauter les légumes : Dans une autre poêle, faites sauter les légumes dans de l'huile d'olive jusqu'à ce qu'ils soient tendres mais encore croquants. Vous pouvez ajouter de l'ail, du sel, du poivre et des herbes pour plus de saveur. Assemblage : Servez le poulet accompagné des légumes sautés. autrement: Préparation des ingrédients : Couper les légumes (carottes, courgettes, poivron) en morceaux de taille similaire pour assurer une cuisson uniforme. Couper le poulet en morceaux ou en lanières de taille égale pour une cuisson rapide. Cuisson du poulet : Chauffer 1 cuillère à soupe d’huile d’olive dans une grande poêle ou un wok à feu moyen-vif. Ajouter le poulet coupé, assaisonner avec du sel et du poivre, puis faire sauter jusqu’à ce qu’il soit bien doré et cuit à cœur (environ 8-10 minutes). Retirer le poulet de la poêle et réserver. Cuisson des légumes : Dans la même poêle, ajouter la deuxième cuillère à soupe d’huile d’olive. Ajouter l’ail et l’oignon, faire revenir 2 minutes jusqu’à ce qu’ils deviennent translucides. Ajouter les autres légumes (carottes, courgettes, poivron) et faire sauter à feu moyen pendant 5-7 minutes jusqu'à ce qu'ils soient légèrement tendres mais encore croquants. Assemblage : Remettre le poulet dans la poêle avec les légumes. Ajouter la sauce soja et le miel, puis mélanger pour bien enrober le tout. Laisser cuire encore 2-3 minutes pour que la sauce caramélise légèrement. Ajuster l’assaisonnement avec du sel et du poivre si nécessaire	30-60 minutes	Pour 4 personne: 4 filets de poulet (environ 600 g) 1 carotte, coupée en julienne 1 courgette, coupée en rondelles 1 poivron rouge, coupé en lamelles 1 oignon, émincé 2 gousses d'ail, hachées 2 cuillères à soupe d'huile d'olive 2 cuillères à soupe de sauce soja 1 cuillère à soupe de miel Sel et poivre au goût Quelques brins de persil ou de coriandre pour la garniture	375	35	14	20	NULL	https://th.bing.com/th/id/OIP.F44V4yMgy02As9nPPIGl9QHaHa?rs=1&pid=ImgDetMain	NULL	NULL
76	Poulet farci	Préparation de la farce : Mélangez de la viande hachée (poulet, porc ou bœuf), des oignons hachés, de l'ail, du riz cuit, des herbes (thym, romarin), et un peu de bouillon ou d'œuf pour lier. Farcir le poulet : Prenez un poulet entier, assaisonnez-le à l'intérieur et à l'extérieur avec du sel, du poivre, du paprika et des herbes. Farcissez le poulet avec la préparation. Cuisson : Faites cuire le poulet farci au four à 180°C pendant environ 1h30 à 2h, en le badigeonnant régulièrement d'huile d'olive ou de beurre pour qu'il soit doré et moelleux.	1-3 heures	1 poulet entier 200g de viande hachée (poulet, bœuf ou porc) 1 oignon, haché 100g de riz cuit Ail, sel, poivre, cumin, cannelle Bouillon de poulet (optionnel)	375	35	20	10	NULL	https://chefcuisto.com/files/2019/09/poitrine-poulet-brocoli-fromage-1140x810.jpg	NULL	NULL
77	Poulet frit	Préparation du poulet : Découpez le poulet en morceaux (cuisses, ailes, blancs) et assaisonnez-le avec du sel, du poivre, de l'ail en poudre, du paprika, et du cumin. Panure : Trempez les morceaux de poulet dans de la farine, puis dans un mélange d'œufs battus, et enfin dans de la chapelure. Friture : Faites chauffer de l'huile dans une grande poêle ou une friteuse et faites frire les morceaux de poulet jusqu'à ce qu'ils soient bien dorés et cuits à l'intérieur (environ 10-15 minutes par morceau). Égoutter : Placez le poulet sur du papier absorbant pour éliminer l'excès d'huile.	30-60 minutes	4 morceaux de poulet (cuisses ou ailes) 1 tasse de farine 2 œufs Chapelure Sel, poivre, paprika, ail en poudre Huile pour friture	500	30	30	20	NULL	https://th.bing.com/th/id/OIP.9mDrcUVhNtyzc28z2Sc3dgHaE8?rs=1&pid=ImgDetMain	NULL	NULL
78	Poulet rôti	Préparation du poulet : Préchauffez le four à 200°C. Assaisonnez le poulet entier avec du sel, du poivre, du paprika, du citron, et de l'ail. Vous pouvez aussi insérer des herbes fraîches (romarin, thym) dans le poulet. Rôtir : Placez le poulet dans un plat allant au four et faites-le cuire pendant environ 1h30, en le retournant à mi-cuisson pour qu'il soit bien doré de chaque côté. Vérification : Vérifiez que la viande est bien cuite en insérant un thermomètre dans la partie la plus épaisse du poulet (la température interne doit atteindre 75°C).	1-3 heures	1 poulet entier 2 gousses d'ail, hachées 1 citron Herbes de Provence (thym, romarin) 3 cuillères à soupe d'huile d'olive Sel et poivre	400	30	20	2	NULL	https://th.bing.com/th/id/OIP.OJ45_zfSrr0en1BmEhppawHaFV?rs=1&pid=ImgDetMain	NULL	NULL
79	Purée	Cuisson des pommes de terre : Pelez et coupez les pommes de terre en morceaux. Faites-les cuire dans de l'eau bouillante salée pendant 20 minutes ou jusqu'à ce qu'elles soient tendres. Écraser les pommes de terre : Égouttez les pommes de terre et écrasez-les à l'aide d'un presse-purée ou d'une fourchette. Ajout de beurre et de lait : Ajoutez du beurre, du lait (ou de la crème pour une texture plus riche), du sel et du poivre. Mélangez jusqu'à obtenir une purée lisse et crémeuse.	30-60 minutes	4 pommes de terre 50g de beurre 100 ml de lait Sel et poivre	175	3	8	25	NULL	https://assets.afcdn.com/recipe/20191204/103445_w3072h2304c1cx2838cy1400.jpg	NULL	NULL
80	Raclette	Cuisson des pommes de terre : Faites cuire des pommes de terre dans de l'eau bouillante jusqu'à ce qu'elles soient tendres. Préparation des accompagnements : Coupez des tranches de fromage à raclette, préparez des charcuteries (jambon, saucisson, viande des Grisons) et des légumes (cornichons, oignons, etc.). Raclette : Placez le fromage sur un appareil à raclette et faites fondre les tranches de fromage. Servez avec les pommes de terre et les accompagnements.	30-60 minutes	200g de fromage à raclette par personne Pommes de terre Charcuteries (jambon, salami, viande des Grisons) Cornichons, oignons au vinaigre	700	25	50	30	NULL	https://mypresquile.com/wp-content/uploads/2020/10/istock-1177037316.jpg	NULL	NULL
81	Ratatouille	Préparation des légumes : Coupez les légumes en petits dés (courgettes, aubergines, poivrons, tomates, oignons). Cuisson : Faites chauffer de l'huile d'olive dans une grande poêle. Commencez par faire revenir les oignons et les poivrons, puis ajoutez les aubergines et les courgettes. Enfin, ajoutez les tomates et laissez mijoter pendant 30 minutes. Assaisonnez avec du sel, du poivre, de l'ail, du basilic et du thym. Servir : Servez chaud, accompagné de riz ou de pain.	30-60 minutes	2 courgettes 2 aubergines 1 poivron rouge 3 tomates 1 oignon Ail, huile d'olive, herbes de Provence	165	3	10	20	NULL	https://th.bing.com/th/id/R.3c96f78f46e72f0cae4a8f550132bea6?rik=%2bZ9uCxvRYwqI6A&pid=ImgRaw&r=0	NULL	NULL
